Date,Account name,Campaign name,Ad group name,Network,Device,Daily budget,Cost,Impressions,Clicks,CTR,CPC,Conversions,Conversion value,Cost per conversion,Search impression share,ROAS
2026-02-06,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,92.31,24035,177,0.736,0.52,3,153.58,33.48,0.65,1.66
2026-02-07,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,109.36,675,119,17.577,0.92,17,1128.25,6.25,0.92,10.32
2026-02-07,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,72.12,549,80,14.645,0.9,10,874.74,6.95,0.88,12.13
2026-02-07,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,186.3,1988,92,4.646,2.02,3,162.76,72.27,0.42,0.87
2026-02-07,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,119.35,888,47,5.248,2.56,2,114.47,66.31,0.38,0.96
2026-02-07,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,260.33,7373,202,2.735,1.29,4,266.24,62.14,0.55,1.02
2026-02-07,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,78.56,18913,153,0.809,0.51,3,183.79,25.74,0.65,2.34
2026-02-08,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,109.95,769,128,16.684,0.86,19,1371.24,5.75,0.92,12.47
2026-02-08,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,64.9,398,66,16.512,0.99,8,664.19,7.79,0.88,10.23
2026-02-08,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,175.15,1734,78,4.506,2.24,2,143.72,82.74,0.42,0.82
2026-02-08,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,134.8,1082,55,5.047,2.47,2,148.58,63.52,0.38,1.1
2026-02-08,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,239.09,7119,213,2.989,1.12,4,316.32,53.51,0.55,1.32
2026-02-08,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,71.71,15683,121,0.775,0.59,2,117.32,37.3,0.65,1.64
2026-02-09,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,116.58,748,139,18.58,0.84,18,1352.06,6.48,0.92,11.6
2026-02-09,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,81.48,545,80,14.61,1.02,9,667.27,9.06,0.88,8.19
2026-02-09,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,180.79,1962,88,4.465,2.06,3,188.71,66.48,0.42,1.04
2026-02-09,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,151.24,1198,65,5.404,2.34,2,191.55,66.94,0.38,1.27
2026-02-09,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,292.66,8643,246,2.841,1.19,6,342.73,49.6,0.55,1.17
2026-02-09,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,93.15,21491,172,0.8,0.54,3,203.62,27.87,0.65,2.19
2026-02-10,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,122.76,821,146,17.77,0.84,20,1622.04,6.02,0.92,13.21
2026-02-10,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,84.59,518,83,16.115,1.01,9,631.83,9.03,0.88,7.47
2026-02-10,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,219.85,2470,105,4.253,2.09,3,188.36,69.65,0.42,0.86
2026-02-10,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,149.64,1309,66,5.03,2.27,2,157.24,76.79,0.38,1.05
2026-02-10,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,298.52,8691,258,2.966,1.16,6,367.98,50.36,0.55,1.23
2026-02-10,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,95.47,21498,173,0.806,0.55,3,176.41,33.62,0.65,1.85
2026-02-11,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,123.0,759,144,18.948,0.85,18,1121.94,6.75,0.92,9.12
2026-02-11,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,83.25,503,82,16.246,1.02,9,796.12,9.29,0.88,9.56
2026-02-11,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,209.69,2024,99,4.893,2.12,3,196.99,74.87,0.42,0.94
2026-02-11,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,147.54,1164,61,5.269,2.41,2,161.2,68.18,0.38,1.09
2026-02-11,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,291.86,9767,254,2.604,1.15,6,366.49,49.41,0.55,1.26
2026-02-11,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,88.84,19249,164,0.853,0.54,3,149.78,34.58,0.65,1.69
2026-02-12,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,117.9,702,130,18.526,0.91,17,1251.51,6.99,0.92,10.62
2026-02-12,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,78.49,578,87,15.014,0.9,10,824.27,8.16,0.88,10.5
2026-02-12,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,198.57,2078,92,4.443,2.15,3,158.04,73.57,0.42,0.8
2026-02-12,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,130.46,1150,57,4.949,2.29,2,163.62,61.81,0.38,1.25
2026-02-12,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,280.56,7130,218,3.06,1.29,5,270.0,58.7,0.55,0.96
2026-02-12,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,96.47,22694,185,0.816,0.52,4,265.37,26.06,0.65,2.75
2026-02-13,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,117.77,751,139,18.567,0.84,17,1397.06,6.88,0.92,11.86
2026-02-13,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,83.59,623,92,14.758,0.91,12,1040.57,7.08,0.88,12.45
2026-02-13,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,200.88,1824,89,4.905,2.24,3,178.1,70.99,0.42,0.89
2026-02-13,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,150.77,1343,65,4.807,2.34,2,168.3,62.9,0.38,1.12
2026-02-13,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,305.06,8670,255,2.939,1.2,5,332.79,59.1,0.55,1.09
2026-02-13,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,83.6,18039,158,0.875,0.53,3,165.4,29.96,0.65,1.98
2026-02-14,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,107.49,710,125,17.549,0.86,20,1346.34,5.43,0.92,12.53
2026-02-14,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,69.33,399,70,17.483,0.99,9,822.39,7.44,0.88,11.86
2026-02-14,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,171.18,1618,78,4.789,2.21,2,144.06,92.12,0.42,0.84
2026-02-14,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,125.81,911,49,5.369,2.57,2,147.24,66.85,0.38,1.17
2026-02-14,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,279.25,8441,239,2.83,1.17,5,371.92,56.37,0.55,1.33
2026-02-14,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,77.03,17741,131,0.74,0.59,3,185.78,29.38,0.65,2.41
2026-02-15,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,103.24,636,112,17.615,0.92,18,1196.17,5.76,0.92,11.59
2026-02-15,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,64.63,419,64,15.153,1.02,7,606.85,9.28,0.88,9.39
2026-02-15,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,190.64,1804,87,4.842,2.18,3,174.59,72.16,0.42,0.92
2026-02-15,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,111.71,780,43,5.536,2.59,2,121.99,67.18,0.38,1.09
2026-02-15,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,259.4,6893,201,2.922,1.29,5,356.76,52.6,0.55,1.38
2026-02-15,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,84.34,18230,146,0.801,0.58,3,165.67,33.58,0.65,1.96
2026-02-16,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,127.52,795,142,17.832,0.9,17,1062.2,7.48,0.92,8.33
2026-02-16,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,82.27,492,83,16.931,0.99,9,673.51,9.24,0.88,8.19
2026-02-16,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,205.13,2396,99,4.124,2.08,2,169.66,82.62,0.42,0.83
2026-02-16,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,153.15,1087,59,5.474,2.57,2,174.45,68.59,0.38,1.14
2026-02-16,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,317.56,9593,267,2.788,1.19,6,385.89,50.41,0.55,1.22
2026-02-16,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,93.37,18674,158,0.848,0.59,3,161.67,36.02,0.65,1.73
2026-02-17,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,112.37,624,122,19.601,0.92,19,1260.67,5.89,0.92,11.22
2026-02-17,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,87.17,512,84,16.471,1.03,10,918.49,8.31,0.88,10.54
2026-02-17,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,218.97,2295,107,4.681,2.04,3,178.72,80.84,0.42,0.82
2026-02-17,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,138.01,1228,59,4.773,2.35,2,160.67,72.09,0.38,1.16
2026-02-17,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,277.04,7913,219,2.764,1.27,5,352.58,51.14,0.55,1.27
2026-02-17,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,93.12,21193,177,0.834,0.53,3,204.81,32.26,0.65,2.2
2026-02-18,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,126.77,841,151,17.979,0.84,19,1499.75,6.74,0.92,11.83
2026-02-18,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,81.6,509,78,15.305,1.05,10,749.52,8.28,0.88,9.19
2026-02-18,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,196.34,2251,97,4.311,2.02,3,177.66,77.8,0.42,0.9
2026-02-18,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,151.41,1170,63,5.392,2.4,2,133.73,71.47,0.38,0.88
2026-02-18,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,277.99,8028,233,2.908,1.19,5,380.92,51.25,0.55,1.37
2026-02-18,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,93.75,21138,161,0.761,0.58,3,141.26,36.85,0.65,1.51
2026-02-19,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,115.99,716,139,19.47,0.83,22,1827.41,5.17,0.92,15.76
2026-02-19,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,87.48,528,89,16.794,0.99,9,663.92,9.52,0.88,7.59
2026-02-19,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,204.79,2236,99,4.405,2.08,3,205.62,77.24,0.42,1.0
2026-02-19,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,141.67,1152,57,4.951,2.48,2,162.14,73.0,0.38,1.14
2026-02-19,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,322.67,10361,280,2.698,1.15,6,365.54,52.0,0.55,1.13
2026-02-19,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,83.1,21533,159,0.74,0.52,3,224.66,26.05,0.65,2.7
2026-02-20,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,125.95,787,136,17.219,0.93,21,1572.39,5.96,0.92,12.48
2026-02-20,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,84.19,584,90,15.402,0.94,12,889.5,6.97,0.88,10.57
2026-02-20,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,219.78,2344,98,4.186,2.24,3,216.39,72.33,0.42,0.98
2026-02-20,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,148.35,1346,65,4.835,2.28,2,129.47,72.99,0.38,0.87
2026-02-20,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,285.61,8145,225,2.764,1.27,6,423.63,50.2,0.55,1.48
2026-02-20,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,81.73,17833,149,0.833,0.55,3,170.1,30.69,0.65,2.08
2026-02-21,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,112.9,736,122,16.645,0.92,15,1203.71,7.5,0.92,10.66
2026-02-21,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,65.9,446,72,16.028,0.92,8,696.87,8.24,0.88,10.57
2026-02-21,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,179.02,1667,82,4.924,2.18,2,160.91,77.26,0.42,0.9
2026-02-21,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,121.14,965,53,5.479,2.29,2,156.3,64.02,0.38,1.29
2026-02-21,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,238.97,6512,189,2.901,1.26,4,272.79,59.39,0.55,1.14
2026-02-21,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,86.35,19528,145,0.745,0.59,2,160.99,37.73,0.65,1.86
2026-02-22,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,108.97,641,126,19.639,0.87,18,1111.74,6.01,0.92,10.2
2026-02-22,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,77.01,442,77,17.443,1.0,9,731.44,8.78,0.88,9.5
2026-02-22,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,184.25,1747,80,4.562,2.31,2,119.87,90.37,0.42,0.65
2026-02-22,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,126.74,1118,53,4.738,2.39,2,131.9,80.74,0.38,1.04
2026-02-22,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,257.74,8126,213,2.62,1.21,5,390.84,48.3,0.55,1.52
2026-02-22,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,72.69,16352,122,0.746,0.6,2,142.5,30.54,0.65,1.96
2026-02-23,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,126.06,848,141,16.634,0.89,20,1388.42,6.4,0.92,11.01
2026-02-23,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,84.9,541,90,16.592,0.95,10,784.47,8.86,0.88,9.24
2026-02-23,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,213.28,2198,99,4.491,2.16,3,208.22,69.16,0.42,0.98
2026-02-23,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,141.77,1066,58,5.467,2.43,2,165.71,65.47,0.38,1.17
2026-02-23,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,296.05,9564,243,2.543,1.22,5,332.65,58.1,0.55,1.12
2026-02-23,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,85.04,19634,146,0.745,0.58,3,174.77,32.35,0.65,2.06
2026-02-24,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,120.59,804,143,17.774,0.84,22,1604.66,5.37,0.92,13.31
2026-02-24,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,74.38,468,81,17.289,0.92,11,841.63,6.94,0.88,11.32
2026-02-24,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,191.82,2326,96,4.119,2.0,2,138.98,82.81,0.42,0.72
2026-02-24,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,137.9,1114,60,5.367,2.31,2,142.15,66.48,0.38,1.03
2026-02-24,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,285.29,8848,248,2.802,1.15,5,333.7,59.16,0.55,1.17
2026-02-24,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,84.23,20053,157,0.783,0.54,2,176.13,34.07,0.65,2.09
2026-02-25,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,115.14,728,130,17.838,0.89,19,1426.82,6.03,0.92,12.39
2026-02-25,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,76.24,422,73,17.188,1.05,8,557.44,9.66,0.88,7.31
2026-02-25,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,209.88,1976,96,4.834,2.2,2,162.09,88.96,0.42,0.77
2026-02-25,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,126.16,1120,54,4.859,2.32,2,143.83,68.64,0.38,1.14
2026-02-25,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,322.13,8498,243,2.857,1.33,5,363.63,60.55,0.55,1.13
2026-02-25,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,98.53,21513,178,0.828,0.55,3,210.03,29.08,0.65,2.13
2026-02-26,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,115.26,862,140,16.25,0.82,17,1066.23,6.65,0.92,9.25
2026-02-26,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,87.53,561,85,15.07,1.03,11,864.24,8.25,0.88,9.87
2026-02-26,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,197.43,1879,89,4.761,2.21,2,145.33,86.86,0.42,0.74
2026-02-26,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,138.98,1200,56,4.703,2.46,2,114.49,80.46,0.38,0.82
2026-02-26,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,312.16,8445,235,2.784,1.33,6,387.89,54.47,0.55,1.24
2026-02-26,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,84.62,17312,148,0.853,0.57,2,125.52,36.78,0.65,1.48
2026-02-27,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,123.13,689,136,19.726,0.91,21,1620.23,5.86,0.92,13.16
2026-02-27,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,81.53,538,83,15.33,0.99,10,766.26,8.26,0.88,9.4
2026-02-27,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,203.64,1982,92,4.661,2.2,3,191.94,71.88,0.42,0.94
