Date,Account name,Campaign name,Campaign objective,Ad set name,Ad name,Daily budget,Cost,Impressions,Reach,Frequency,Link clicks,Link CTR,CPM,Cost per link click,Purchases,Purchase conversion value,ROAS
2026-02-01,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,121.31,8574,4864,1.76,113,1.312,14.15,1.08,4,239.52,1.97
2026-02-01,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,38.69,2693,2065,1.3,56,2.069,14.37,0.69,3,150.16,3.88
2026-02-01,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,76.64,4961,2473,2.01,56,1.122,15.45,1.38,2,126.11,1.65
2026-02-01,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,149.81,8773,3925,2.24,267,3.042,17.08,0.56,11,766.6,5.12
2026-02-01,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,86.29,5902,2653,2.23,156,2.651,14.62,0.55,5,351.85,4.08
2026-02-01,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,112.09,8115,5471,1.48,59,0.723,13.81,1.91,1,66.23,0.59
2026-02-01,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,101.23,6921,5283,1.31,70,1.005,14.63,1.46,1,69.48,0.69
2026-02-01,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,94.37,7848,4165,1.88,80,1.018,12.02,1.18,2,130.05,1.38
2026-02-01,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,66.88,4883,2308,2.12,48,0.986,13.7,1.39,2,87.82,1.31
2026-02-02,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,197.97,12081,7068,1.71,255,2.114,16.39,0.78,11,656.52,3.32
2026-02-02,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,119.66,8332,6404,1.3,114,1.367,14.36,1.05,4,280.22,2.34
2026-02-02,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,133.43,8595,5119,1.68,111,1.286,15.52,1.21,4,305.82,2.29
2026-02-02,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,40.45,2782,2212,1.26,54,1.926,14.54,0.75,3,185.8,4.59
2026-02-02,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,90.76,5724,2690,2.13,61,1.072,15.86,1.48,2,163.46,1.8
2026-02-02,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,167.67,9727,4268,2.28,245,2.518,17.24,0.68,13,922.61,5.5
2026-02-02,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,98.49,6743,3195,2.11,177,2.625,14.61,0.56,6,411.45,4.18
2026-02-02,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,118.06,8008,4991,1.6,64,0.804,14.74,1.83,1,66.65,0.56
2026-02-02,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,104.25,7441,5491,1.36,70,0.937,14.01,1.5,1,70.29,0.67
2026-02-02,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,91.45,7341,3579,2.05,90,1.232,12.46,1.01,2,117.1,1.28
2026-02-02,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,76.24,5552,2617,2.12,61,1.091,13.73,1.26,2,96.53,1.27
2026-02-03,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,192.01,11944,6925,1.72,233,1.951,16.08,0.82,11,613.58,3.2
2026-02-03,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,127.61,8751,5840,1.5,127,1.455,14.58,1.0,5,283.86,2.22
2026-02-03,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,129.0,8604,4978,1.73,106,1.229,14.99,1.22,5,282.68,2.19
2026-02-03,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,41.07,3035,2193,1.38,64,2.094,13.53,0.65,3,184.45,4.49
2026-02-03,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,88.62,6020,2747,2.19,64,1.057,14.72,1.39,3,163.9,1.85
2026-02-03,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,188.68,11644,5265,2.21,320,2.751,16.2,0.59,13,932.34,4.94
2026-02-03,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,112.4,7167,3215,2.23,186,2.593,15.68,0.6,7,428.41,3.81
2026-02-03,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,115.4,7448,4694,1.59,64,0.857,15.49,1.81,1,74.76,0.65
2026-02-03,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,104.49,7823,5264,1.49,75,0.961,13.36,1.39,1,71.77,0.69
2026-02-03,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,93.09,6937,3393,2.04,83,1.196,13.42,1.12,2,138.43,1.49
2026-02-03,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,72.4,5426,2538,2.14,52,0.96,13.34,1.39,1,99.8,1.38
2026-02-04,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,191.19,12742,8496,1.5,259,2.031,15.0,0.74,9,636.79,3.33
2026-02-04,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,113.34,7152,5273,1.36,99,1.387,15.85,1.14,5,288.08,2.54
2026-02-04,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,126.66,8950,4975,1.8,112,1.246,14.15,1.14,5,290.83,2.3
2026-02-04,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,41.13,2969,2271,1.31,70,2.342,13.85,0.59,3,187.93,4.57
2026-02-04,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,98.47,6792,3360,2.02,91,1.333,14.5,1.09,3,163.36,1.66
2026-02-04,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,188.23,12059,5015,2.4,346,2.871,15.61,0.54,15,993.09,5.28
2026-02-04,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,98.9,6140,2613,2.35,130,2.113,16.11,0.76,6,408.6,4.13
2026-02-04,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,125.81,8399,6013,1.4,65,0.774,14.98,1.94,1,77.96,0.62
2026-02-04,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,105.91,7026,5184,1.36,67,0.947,15.07,1.59,1,71.31,0.67
2026-02-04,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,98.05,8064,4299,1.88,81,1.002,12.16,1.21,2,149.36,1.52
2026-02-04,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,86.44,6594,3272,2.02,63,0.952,13.11,1.38,2,101.15,1.17
2026-02-05,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,177.48,11231,7059,1.59,221,1.971,15.8,0.8,9,543.81,3.06
2026-02-05,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,119.36,7428,5601,1.33,111,1.499,16.07,1.07,4,262.67,2.2
2026-02-05,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,143.72,9908,5603,1.77,139,1.399,14.51,1.04,5,312.25,2.17
2026-02-05,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,37.59,2887,2230,1.29,57,1.971,13.02,0.66,3,168.93,4.49
2026-02-05,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,88.46,5664,2615,2.17,63,1.112,15.62,1.4,3,159.05,1.8
2026-02-05,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,185.62,12514,4998,2.5,372,2.969,14.83,0.5,15,923.47,4.98
2026-02-05,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,97.26,5808,2845,2.04,140,2.41,16.75,0.69,5,378.76,3.89
2026-02-05,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,118.96,7775,4808,1.62,65,0.832,15.3,1.84,1,72.74,0.61
2026-02-05,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,118.61,8151,5817,1.4,77,0.947,14.55,1.54,1,88.52,0.75
2026-02-05,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,107.94,8256,4520,1.83,90,1.093,13.07,1.2,2,143.48,1.33
2026-02-05,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,84.25,6516,3380,1.93,67,1.03,12.93,1.25,2,100.27,1.19
2026-02-06,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,171.78,11324,7512,1.51,217,1.918,15.17,0.79,7,503.9,2.93
2026-02-06,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,124.95,8886,6304,1.41,122,1.369,14.06,1.03,5,294.84,2.36
2026-02-06,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,137.76,8675,4948,1.75,115,1.326,15.88,1.2,4,309.95,2.25
2026-02-06,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,39.04,3005,2221,1.35,61,2.025,12.99,0.64,2,175.57,4.5
2026-02-06,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,88.54,5560,2605,2.13,67,1.213,15.92,1.31,3,150.47,1.7
2026-02-06,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,177.69,11918,4827,2.47,321,2.69,14.91,0.55,16,941.16,5.3
2026-02-06,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,103.32,7034,3459,2.03,174,2.47,14.69,0.59,6,414.64,4.01
2026-02-06,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,108.65,7269,4876,1.49,53,0.73,14.95,2.05,1,59.33,0.55
2026-02-06,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,103.66,7450,5426,1.37,71,0.956,13.91,1.45,1,76.22,0.74
2026-02-06,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,95.05,8086,4229,1.91,79,0.973,11.75,1.21,2,146.37,1.54
2026-02-06,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,82.4,6113,2937,2.08,63,1.036,13.48,1.3,2,116.76,1.42
2026-02-07,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,143.21,9697,5901,1.64,168,1.73,14.77,0.85,8,449.62,3.14
2026-02-07,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,109.81,6959,4887,1.42,90,1.288,15.78,1.22,5,276.62,2.52
2026-02-07,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,131.07,8170,5201,1.57,96,1.178,16.04,1.36,4,264.89,2.02
2026-02-07,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,38.43,2766,2283,1.21,61,2.208,13.89,0.63,2,167.54,4.36
2026-02-07,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,72.89,4555,2135,2.13,59,1.301,16.0,1.23,2,121.27,1.66
2026-02-07,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,167.35,10627,4522,2.35,292,2.752,15.75,0.57,15,904.79,5.41
2026-02-07,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,97.92,5955,2521,2.36,129,2.173,16.44,0.76,6,412.35,4.21
2026-02-07,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,109.98,7596,4713,1.61,64,0.845,14.48,1.71,1,62.95,0.57
2026-02-07,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,97.54,6826,4702,1.45,60,0.886,14.29,1.61,1,65.11,0.67
2026-02-07,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,93.82,7966,4372,1.82,96,1.201,11.78,0.98,2,130.42,1.39
2026-02-07,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,68.7,5753,3031,1.9,62,1.084,11.94,1.1,1,84.16,1.23
2026-02-08,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,153.34,9233,5985,1.54,184,1.992,16.61,0.83,6,428.79,2.8
2026-02-08,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,96.85,6175,4236,1.46,86,1.396,15.68,1.12,4,241.3,2.49
2026-02-08,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,122.97,7858,4838,1.62,92,1.173,15.65,1.33,4,268.15,2.18
2026-02-08,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,35.77,2541,1978,1.28,54,2.116,14.08,0.67,3,157.64,4.41
2026-02-08,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,82.41,5572,2825,1.97,63,1.128,14.79,1.31,2,139.22,1.69
2026-02-08,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,159.54,9475,4136,2.29,245,2.588,16.84,0.65,12,858.77,5.38
2026-02-08,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,100.24,6378,3097,2.06,145,2.275,15.72,0.69,6,385.86,3.85
2026-02-08,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,98.83,7317,5061,1.45,59,0.807,13.51,1.67,1,64.92,0.66
2026-02-08,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,100.62,7462,5338,1.4,73,0.98,13.48,1.38,1,75.69,0.75
2026-02-08,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,87.46,6994,3966,1.76,71,1.017,12.5,1.23,2,133.25,1.52
2026-02-08,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,74.94,5890,2885,2.04,53,0.898,12.72,1.42,2,88.72,1.18
2026-02-09,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,182.26,12006,7992,1.5,255,2.125,15.18,0.71,9,594.9,3.26
2026-02-09,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,126.98,8756,6305,1.39,123,1.408,14.5,1.03,4,301.26,2.37
2026-02-09,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,153.72,10603,6129,1.73,142,1.338,14.5,1.08,5,338.31,2.2
2026-02-09,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,37.66,2790,2270,1.23,61,2.181,13.5,0.62,3,147.86,3.93
2026-02-09,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,81.05,5316,2619,2.03,65,1.227,15.25,1.24,2,138.05,1.7
2026-02-09,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,187.31,11664,4551,2.56,341,2.926,16.06,0.55,16,1069.69,5.71
2026-02-09,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,107.35,6405,2891,2.22,151,2.357,16.76,0.71,6,453.14,4.22
2026-02-09,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,127.84,9362,6439,1.45,69,0.736,13.66,1.86,1,80.52,0.63
2026-02-09,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,105.35,7807,5403,1.44,73,0.941,13.49,1.43,1,80.27,0.76
2026-02-09,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,99.88,8471,4507,1.88,83,0.979,11.79,1.2,2,134.86,1.35
2026-02-09,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,73.46,5285,2611,2.02,57,1.081,13.9,1.29,1,104.11,1.42
2026-02-10,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,186.2,12322,7398,1.67,208,1.69,15.11,0.89,8,573.82,3.08
2026-02-10,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,129.99,9021,6307,1.43,129,1.429,14.41,1.01,5,311.45,2.4
2026-02-10,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,135.74,9309,5180,1.8,126,1.353,14.58,1.08,4,275.36,2.03
2026-02-10,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,38.31,2523,1926,1.31,57,2.258,15.18,0.67,3,159.43,4.16
2026-02-10,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,86.82,5248,2493,2.1,62,1.172,16.54,1.41,3,171.53,1.98
2026-02-10,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,181.53,11367,4843,2.35,294,2.59,15.97,0.62,15,1030.56,5.68
2026-02-10,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,109.41,7321,3114,2.35,178,2.428,14.95,0.62,6,443.02,4.05
2026-02-10,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,110.91,7025,4887,1.44,58,0.821,15.79,1.92,1,62.0,0.56
2026-02-10,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,111.15,8271,5542,1.49,83,1.006,13.44,1.34,1,77.2,0.69
2026-02-10,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,106.64,8431,4431,1.9,98,1.157,12.65,1.09,2,142.53,1.34
2026-02-10,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,87.68,7057,3595,1.96,71,1.012,12.43,1.23,2,123.61,1.41
2026-02-11,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,193.66,11651,6959,1.67,209,1.798,16.62,0.92,8,590.12,3.05
2026-02-11,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,120.19,7521,5551,1.35,100,1.327,15.98,1.2,4,293.46,2.44
2026-02-11,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,139.71,9871,5954,1.66,130,1.312,14.15,1.08,5,296.44,2.12
2026-02-11,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,39.64,2876,2145,1.34,56,1.943,13.78,0.71,3,168.89,4.26
2026-02-11,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,94.96,6651,3066,2.17,84,1.27,14.28,1.12,3,181.57,1.91
2026-02-11,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,185.89,10906,4547,2.4,341,3.123,17.05,0.55,14,910.87,4.9
2026-02-11,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,105.88,6364,2921,2.18,166,2.616,16.64,0.64,7,436.34,4.12
2026-02-11,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,125.34,8655,6108,1.42,72,0.83,14.48,1.75,1,74.74,0.6
2026-02-11,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,106.45,7176,4853,1.48,67,0.932,14.83,1.59,1,79.76,0.75
2026-02-11,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,97.6,7938,4011,1.98,92,1.158,12.3,1.06,3,146.82,1.5
2026-02-11,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,73.09,5520,2556,2.16,61,1.101,13.24,1.2,2,99.71,1.36
2026-02-12,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,165.54,10308,6501,1.59,213,2.07,16.06,0.78,7,533.1,3.22
