Date,Advertiser name,Campaign name,Ad group name,Ad name,Daily budget,Cost,Impressions,Clicks,CTR,CPM,CPC,Conversions,Video views,Video views at 75%,Video views at 100%,ROAS
2026-02-01,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,81.94,10799,182,1.687,7.59,0.45,1,6151,1532,1095,1.16
2026-02-01,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,103.82,13471,188,1.397,7.71,0.55,2,7552,1775,1272,1.16
2026-02-01,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,68.91,10355,316,3.049,6.65,0.22,3,6945,3617,2173,2.6
2026-02-01,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,61.93,8210,176,2.148,7.54,0.35,2,4602,1647,1163,1.54
2026-02-01,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,81.49,10526,247,2.349,7.74,0.33,3,6692,1692,1463,1.8
2026-02-02,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,130.98,18894,359,1.902,6.93,0.36,3,11017,3380,2454,1.35
2026-02-02,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,98.89,13210,203,1.535,7.49,0.49,2,8505,2320,1494,1.1
2026-02-02,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,117.15,15468,206,1.332,7.57,0.57,2,8903,2428,1450,1.1
2026-02-02,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,78.83,13005,459,3.527,6.06,0.17,3,7877,4038,2851,2.71
2026-02-02,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,64.57,9571,174,1.813,6.75,0.37,1,5765,1982,1278,1.36
2026-02-02,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,97.62,10560,289,2.737,9.24,0.34,4,6587,1881,1365,2.05
2026-02-03,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,111.61,14335,246,1.714,7.79,0.45,3,8184,2730,1859,1.51
2026-02-03,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,108.66,12731,214,1.681,8.53,0.51,2,8577,2121,1680,1.08
2026-02-03,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,106.05,13163,194,1.474,8.06,0.55,2,7455,1908,1465,1.18
2026-02-03,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,76.46,12755,485,3.804,5.99,0.16,4,7622,3573,2692,2.68
2026-02-03,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,68.8,8985,173,1.92,7.66,0.4,2,5288,1748,1268,1.61
2026-02-03,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,90.61,10544,284,2.693,8.59,0.32,3,6435,1830,1337,1.94
2026-02-04,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,125.96,16050,271,1.686,7.85,0.47,2,8990,2801,2159,1.23
2026-02-04,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,108.42,14779,228,1.542,7.34,0.48,2,9748,2486,1720,1.3
2026-02-04,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,117.77,13052,201,1.539,9.02,0.59,2,7373,1723,1450,1.03
2026-02-04,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,83.26,13059,394,3.013,6.38,0.21,5,8423,4140,2620,3.22
2026-02-04,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,74.72,9609,171,1.774,7.78,0.44,2,5454,1858,1391,1.45
2026-02-04,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,83.69,10456,277,2.646,8.0,0.3,3,6223,1712,1204,2.12
2026-02-05,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,126.75,16158,276,1.708,7.84,0.46,2,9080,2937,1999,1.28
2026-02-05,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,90.22,10504,175,1.669,8.59,0.51,2,6941,2001,1319,1.31
2026-02-05,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,114.61,14099,181,1.285,8.13,0.63,2,9577,2232,1625,1.22
2026-02-05,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,81.9,13263,417,3.142,6.18,0.2,4,8785,4446,2968,3.07
2026-02-05,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,67.38,9040,195,2.157,7.45,0.35,1,5769,1820,1276,1.38
2026-02-05,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,82.4,9435,256,2.708,8.73,0.32,3,5898,1508,1203,1.77
2026-02-06,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,126.16,17354,316,1.822,7.27,0.4,4,10262,3462,2287,1.45
2026-02-06,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,101.27,11873,169,1.426,8.53,0.6,2,6637,1715,1206,1.15
2026-02-06,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,107.76,13887,206,1.485,7.76,0.52,2,8959,2076,1583,1.16
2026-02-06,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,83.86,13913,508,3.651,6.03,0.17,4,8422,4078,3065,2.66
2026-02-06,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,67.06,9935,197,1.982,6.75,0.34,2,6429,2326,1638,1.64
2026-02-06,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,92.78,10278,236,2.297,9.03,0.39,3,6664,1922,1447,2.22
2026-02-07,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,102.25,12784,221,1.73,8.0,0.46,2,7816,2596,1814,1.35
2026-02-07,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,86.02,11317,186,1.642,7.6,0.46,2,7196,1913,1451,1.08
2026-02-07,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,89.88,10115,143,1.416,8.89,0.63,2,5754,1332,997,1.22
2026-02-07,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,76.51,12515,403,3.221,6.11,0.19,4,7261,3644,2349,2.8
2026-02-07,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,61.27,8868,193,2.181,6.91,0.32,2,5084,1732,1108,1.55
2026-02-07,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,84.89,10099,274,2.714,8.41,0.31,4,6094,1824,1329,2.2
2026-02-08,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,102.93,13111,236,1.803,7.85,0.44,2,8425,2658,1907,1.32
2026-02-08,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,92.24,12030,207,1.723,7.67,0.44,1,7146,1771,1330,1.06
2026-02-08,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,88.53,10934,152,1.387,8.1,0.58,1,6972,1898,1246,0.99
2026-02-08,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,64.57,9400,352,3.741,6.87,0.18,3,5477,2518,1794,3.19
2026-02-08,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,67.72,9337,196,2.097,7.25,0.35,2,5255,1644,1254,1.49
2026-02-08,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,81.42,9838,218,2.219,8.28,0.37,3,6632,1806,1308,2.05
2026-02-09,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,119.36,17281,339,1.959,6.91,0.35,3,10221,3234,2061,1.55
2026-02-09,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,91.39,11516,175,1.523,7.94,0.52,2,7175,1973,1298,1.26
2026-02-09,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,117.27,15400,236,1.535,7.62,0.5,2,8907,2177,1577,1.06
2026-02-09,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,79.61,11672,365,3.123,6.82,0.22,4,7516,3498,2305,3.04
2026-02-09,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,73.96,9966,179,1.797,7.42,0.41,2,5961,2198,1556,1.56
2026-02-09,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,94.37,10484,251,2.39,9.0,0.38,3,6042,1815,1115,1.83
2026-02-10,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,131.28,17623,319,1.809,7.45,0.41,3,11653,3320,2538,1.23
2026-02-10,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,109.39,14691,219,1.492,7.45,0.5,2,9193,2282,1704,1.34
2026-02-10,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,106.66,11784,184,1.559,9.05,0.58,2,7764,1767,1508,1.12
2026-02-10,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,80.03,11331,404,3.563,7.06,0.2,4,6899,3187,2366,3.0
2026-02-10,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,70.32,9164,166,1.814,7.67,0.42,2,5314,1819,1286,1.38
2026-02-10,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,87.87,9553,250,2.613,9.2,0.35,3,6066,1843,1300,1.97
2026-02-11,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,131.89,16353,266,1.629,8.07,0.5,3,9959,3065,2301,1.45
2026-02-11,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,108.54,14555,230,1.579,7.46,0.47,3,8645,2263,1551,1.22
2026-02-11,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,109.0,13438,174,1.298,8.11,0.63,2,9110,2486,1611,1.09
2026-02-11,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,85.13,12418,447,3.597,6.86,0.19,4,7274,3313,2661,2.56
2026-02-11,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,66.7,8563,183,2.142,7.79,0.36,2,5734,1894,1243,1.47
2026-02-11,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,83.76,9975,268,2.69,8.4,0.31,3,5981,1828,1314,2.15
2026-02-12,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,113.8,13664,228,1.667,8.33,0.5,3,8982,2810,1829,1.45
2026-02-12,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,102.73,11555,170,1.475,8.89,0.6,2,7074,1731,1425,1.32
2026-02-12,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,110.09,12896,193,1.496,8.54,0.57,2,7612,1939,1493,1.19
2026-02-12,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,75.26,12424,416,3.349,6.06,0.18,4,6976,3458,2571,2.99
2026-02-12,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,64.1,8988,190,2.116,7.13,0.34,1,5719,1867,1301,1.37
2026-02-12,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,97.16,11745,296,2.521,8.27,0.33,3,7699,2272,1589,1.88
2026-02-13,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,114.6,13842,257,1.855,8.28,0.45,3,7901,2414,1772,1.45
2026-02-13,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,92.14,11857,208,1.752,7.77,0.44,2,7148,2030,1328,1.08
2026-02-13,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,109.8,14579,183,1.257,7.53,0.6,3,9378,2304,1625,1.22
2026-02-13,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,86.53,12347,388,3.139,7.01,0.22,4,7758,3772,2391,2.56
2026-02-13,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,76.66,9542,190,1.992,8.03,0.4,2,5512,1942,1436,1.54
2026-02-13,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,84.47,10802,239,2.214,7.82,0.35,3,7189,1858,1356,2.01
2026-02-14,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,101.96,14165,269,1.898,7.2,0.38,3,8750,2939,1867,1.55
2026-02-14,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,88.91,11400,193,1.694,7.8,0.46,2,6927,1729,1230,1.2
2026-02-14,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,100.42,11180,148,1.326,8.98,0.68,2,7301,1770,1391,1.07
2026-02-14,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,76.79,11648,432,3.712,6.59,0.18,3,7678,3745,2667,2.85
2026-02-14,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,60.73,8186,159,1.94,7.42,0.38,2,4738,1443,1140,1.55
2026-02-14,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,80.58,9726,262,2.696,8.28,0.31,2,5852,1484,1095,2.07
2026-02-15,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,101.86,12610,219,1.739,8.08,0.46,2,7618,2477,1549,1.26
2026-02-15,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,84.81,11545,177,1.534,7.35,0.48,2,7729,2081,1435,1.19
2026-02-15,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,98.77,11771,149,1.267,8.39,0.66,2,7857,2123,1294,1.04
2026-02-15,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,75.93,11660,421,3.609,6.51,0.18,4,6791,3428,2308,2.77
2026-02-15,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,67.64,9378,171,1.82,7.21,0.4,2,5678,1937,1304,1.38
2026-02-15,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,81.48,8792,246,2.793,9.27,0.33,3,5823,1599,1257,2.2
2026-02-16,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,130.03,18744,349,1.863,6.94,0.37,3,12324,3965,2589,1.26
2026-02-16,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,105.07,13153,213,1.622,7.99,0.49,2,7981,2206,1503,1.15
2026-02-16,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,117.67,12881,164,1.273,9.14,0.72,2,7234,1658,1175,1.07
2026-02-16,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,73.68,11534,410,3.553,6.39,0.18,4,6709,3451,2221,2.86
2026-02-16,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,75.64,9391,207,2.208,8.05,0.36,2,6154,1907,1609,1.63
2026-02-16,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,82.35,9845,253,2.568,8.36,0.33,3,5701,1481,1131,2.15
2026-02-17,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,111.03,13534,258,1.909,8.2,0.43,2,8246,2513,1677,1.53
2026-02-17,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,100.55,12134,202,1.662,8.29,0.5,2,7870,1979,1425,1.34
2026-02-17,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,105.52,13764,195,1.42,7.67,0.54,2,8935,2119,1473,1.2
2026-02-17,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,87.55,14478,435,3.003,6.05,0.2,4,8416,3689,2695,2.7
2026-02-17,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,71.27,9651,210,2.172,7.38,0.34,2,5928,1854,1424,1.59
2026-02-17,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,97.45,11910,288,2.418,8.18,0.34,3,7404,2189,1388,2.23
2026-02-18,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,114.67,16051,276,1.717,7.14,0.42,3,9250,3063,2135,1.52
2026-02-18,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,94.81,10758,159,1.48,8.81,0.6,2,6607,1675,1363,1.06
2026-02-18,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,100.85,12212,157,1.283,8.26,0.64,2,6895,1658,1141,1.1
2026-02-18,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,82.38,11861,396,3.337,6.95,0.21,4,7492,3587,2544,2.76
2026-02-18,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,69.07,9066,188,2.07,7.62,0.37,2,5119,1560,1171,1.67
2026-02-18,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,82.19,10290,240,2.336,7.99,0.34,3,6242,1608,1307,2.06
2026-02-19,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,129.11,17659,295,1.673,7.31,0.44,3,10484,3291,2414,1.5
2026-02-19,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,91.88,11229,188,1.677,8.18,0.49,2,7528,1898,1377,1.19
2026-02-19,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,100.53,12793,196,1.534,7.86,0.51,2,7891,1923,1329,1.01
2026-02-19,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,76.22,12532,444,3.546,6.08,0.17,4,8499,4113,2883,3.15
2026-02-19,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,66.47,9796,211,2.153,6.79,0.32,1,6481,2189,1452,1.52
2026-02-19,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,83.64,10477,250,2.383,7.98,0.34,3,6801,2091,1294,2.11
2026-02-20,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,119.68,16028,255,1.59,7.47,0.47,3,10715,3481,2526,1.35
2026-02-20,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,108.04,12950,188,1.451,8.34,0.57,2,7259,2116,1478,1.25
2026-02-20,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,113.51,14571,204,1.399,7.79,0.56,2,9889,2422,1867,1.03
2026-02-20,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,75.1,10349,364,3.513,7.26,0.21,4,6646,3416,2237,3.22
2026-02-20,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,76.42,10316,195,1.887,7.41,0.39,2,6256,2067,1650,1.56
2026-02-20,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,86.57,10958,275,2.512,7.9,0.31,3,6704,1860,1466,1.92
2026-02-21,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,111.77,15190,304,2.003,7.36,0.37,2,9355,2680,2250,1.4
2026-02-21,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,90.18,10653,162,1.525,8.46,0.56,2,5965,1441,1084,1.14
2026-02-21,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,98.6,12890,172,1.335,7.65,0.57,2,7193,1723,1256,1.08
2026-02-21,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,67.35,9436,334,3.535,7.14,0.2,4,5366,2437,2005,3.09
2026-02-21,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,57.86,7713,139,1.799,7.5,0.42,1,4643,1657,1145,1.4
2026-02-21,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,77.97,8190,185,2.259,9.52,0.42,3,4885,1385,1012,1.89
2026-02-22,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,101.85,13038,245,1.879,7.81,0.42,2,8171,2417,1649,1.3
2026-02-22,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,89.17,10597,171,1.618,8.42,0.52,2,6487,1601,1218,1.16
2026-02-22,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,93.18,10194,150,1.471,9.14,0.62,2,6220,1539,1014,1.09
2026-02-22,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,71.23,9790,327,3.335,7.28,0.22,4,5830,2632,1987,3.08
2026-02-22,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,57.01,7654,155,2.031,7.45,0.37,1,4644,1530,1004,1.43
2026-02-22,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,84.07,8971,222,2.476,9.37,0.38,3,5929,1710,1146,1.79
2026-02-23,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,110.34,14956,268,1.792,7.38,0.41,3,9719,3098,2240,1.34
2026-02-23,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,91.06,11782,172,1.463,7.73,0.53,2,6901,1900,1404,1.27
2026-02-23,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,105.62,13039,204,1.564,8.1,0.52,2,8388,1951,1359,0.97
2026-02-23,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,81.66,13240,407,3.071,6.17,0.2,4,8755,4121,2712,2.69
2026-02-23,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,64.71,8924,199,2.232,7.25,0.32,2,5584,1997,1389,1.62
2026-02-23,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,96.47,10801,266,2.459,8.93,0.36,4,7123,2057,1331,2.07
2026-02-24,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,125.8,16169,289,1.79,7.78,0.43,3,10945,3366,2489,1.33
2026-02-24,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,97.82,11445,166,1.449,8.55,0.59,2,6426,1695,1237,1.18
2026-02-24,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,99.24,12259,178,1.449,8.1,0.56,2,6905,1882,1358,1.2
2026-02-24,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,79.49,11390,367,3.218,6.98,0.22,4,7564,3603,2494,3.24
2026-02-24,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,72.89,10070,180,1.79,7.24,0.4,2,6517,2119,1631,1.56
2026-02-24,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,95.16,11398,303,2.658,8.35,0.31,3,7655,2206,1493,1.91
